tiempo,Theta1,Theta2
9.375,94.720653974699,-135.999669573264
9.39,94.5677916585381,-136.000244552178
9.405,94.4129295116708,-135.998196126447
9.42,94.2561386370444,-135.993541540626
9.435,94.0974899290538,-135.986298057336
9.45,93.9370540703317,-135.976482977173
9.465,93.7749015265779,-135.964113656655
9.48,93.6111025396271,-135.949207524336
9.495,93.4457271189435,-135.931782095186
9.51,93.2788450317198,-135.911854983356
9.525,93.1105257917508,-135.889443913418
9.54,92.9408386472392,-135.864566730165
9.555,92.769852567687,-135.837241407066
9.57,92.5976362300148,-135.807486053443
9.585,92.4242580040471,-135.775318920454
9.6,92.2497859374928,-135.740758405937
9.615,92.0742877405436,-135.703823058189
9.63,91.8978307702081,-135.664531578737
9.645,91.7204820144941,-135.622902824157
9.66,91.5423080765431,-135.578955806987
9.675,91.363375158818,-135.5327096958
9.69,91.1837490474414,-135.48418381446
9.705,91.003495096772,-135.433397640628
9.72,90.822678214308,-135.380370803541
9.735,90.6413628459972,-135.325123081112
9.75,90.4596129620312,-135.267674396381
9.765,90.277492043198,-135.208044813356
9.78,90.0950630678607,-135.146254532269
9.795,89.9123884996292,-135.08232388428
9.81,89.7295302757853,-135.016273325652
9.825,89.5465497965217,-134.948123431428
9.84,89.3635079150485,-134.877894888622
9.855,89.1804649286214,-134.805608488952
9.87,88.9974805705397,-134.731285121133
9.885,88.8146140031633,-134.654945762737
9.9,88.6319238119916,-134.576611471647
9.915,88.4494680008493,-134.496303377105
9.93,88.2673039882185,-134.414042670363
9.945,88.085488604758,-134.329850594957
9.96,87.9040780920476,-134.243748436594
9.975,87.7231281025949,-134.155757512653
9.99,87.5426937011419,-134.065899161315
10.005,87.3628293673073,-133.974194730298
10.02,87.1835889996017,-133.880665565207
10.035,87.0050259208528,-133.785332997477
10.05,86.8271928850782,-133.688218331904
10.065,86.6501420858459,-133.589342833744
10.08,86.4739251661624,-133.488727715359
10.095,86.2985932299337,-133.386394122386
10.11,86.124196855043,-133.282363119404
10.125,85.9507861080983,-133.176655675058
10.14,85.7784105608998,-133.069292646613
10.155,85.6071193086892,-132.960294763877
10.17,85.4369609902437,-132.849682612463
10.185,85.2679838098858,-132.737476616315
10.2,85.1002355614873,-132.623697019441
10.215,84.9337636545549,-132.50836386679
10.23,84.7686151424924,-132.39149698417
10.245,84.6048367531494,-132.273115957138
10.26,84.4424749217741,-132.15324010874
10.275,84.2815758265062,-132.031888476004
10.29,84.1221854265589,-131.909079785037
10.305,83.9643495032587,-131.784832424601
10.32,83.8081137041318,-131.659164417991
10.335,83.6535235902481,-131.532093393035
10.35,83.5006246870625,-131.403636550019
10.365,83.34946253902,-131.273810627291
